activity_id,user_id,date,session_type,distance_km,duration_min,pace_min_per_km,avg_hr_bpm,elev_gain_m,kms_z3_4,kms_z5_t1_t2,kms_sprinting,cadence_spm,gct_ms,stride_length_cm,vertical_oscillation_cm,gct_balance
50,1,2023-01-01,easy,1.344,9.71,7.223,132.7,59.0,0.0,0.0,0.0,162.4,260.6,200.0,6.2,0.503
51,1,2023-01-02,easy,1.167,8.27,7.088,130.2,51.0,0.0,0.0,0.0,162.6,238.5,200.0,5.0,0.497
52,1,2023-01-03,easy,1.194,8.12,6.802,126.8,0.0,0.0,0.0,0.0,160.6,257.8,200.0,7.4,0.505
53,1,2023-01-04,easy,1.54,10.66,6.925,119.4,0.0,0.0,0.0,0.0,159.9,242.5,200.0,6.6,0.45
54,1,2023-01-05,easy,0.997,8.0,6.939,122.3,0.0,0.0,0.0,0.0,159.8,257.2,200.0,9.8,0.48
55,1,2023-01-06,easy,1.108,8.0,7.13,126.5,26.7,0.0,0.0,0.0,163.0,236.2,200.0,8.4,0.504
56,1,2023-01-07,easy,1.547,11.22,7.254,128.3,0.0,0.0,0.0,0.0,152.9,229.3,200.0,8.8,0.528
57,1,2023-01-08,easy,1.535,11.2,7.296,127.0,75.1,0.0,0.0,0.0,158.6,215.4,200.0,6.6,0.487
58,1,2023-01-09,long,3.761,26.85,7.138,135.4,62.1,0.0,0.0,0.0,154.7,264.1,200.0,8.6,0.457
59,1,2023-01-11,easy,1.874,13.05,6.962,125.9,96.3,0.0,0.0,0.0,158.5,241.1,200.0,6.8,0.495
60,1,2023-01-12,easy,1.466,10.3,7.027,128.5,0.0,0.0,0.0,0.0,156.7,247.9,200.0,5.8,0.478
61,1,2023-01-13,easy,1.583,10.84,6.849,128.1,30.8,0.0,0.0,0.0,162.5,255.2,200.0,6.9,0.483
62,1,2023-01-14,easy,1.678,12.3,7.328,122.9,38.2,0.0,0.0,0.0,156.9,235.5,200.0,5.0,0.479
63,1,2023-01-16,easy,1.567,10.53,6.723,128.2,0.0,0.0,0.0,0.0,169.9,231.5,200.0,6.8,0.479
64,1,2023-01-17,easy,1.468,10.58,7.209,130.2,50.3,0.0,0.0,0.0,157.0,232.2,200.0,7.1,0.477
65,1,2023-01-18,easy,1.734,11.57,6.673,123.0,18.5,0.0,0.0,0.0,157.7,232.9,200.0,8.4,0.521
66,1,2023-01-19,easy,1.126,8.04,7.141,125.7,24.1,0.0,0.0,0.0,161.9,245.0,200.0,7.1,0.515
67,1,2023-01-20,easy,1.362,9.62,7.061,132.9,18.4,0.0,0.0,0.0,165.9,233.7,200.0,7.7,0.494
68,1,2023-01-21,easy,1.539,10.67,6.936,127.1,4.7,0.0,0.0,0.0,160.3,231.5,200.0,6.8,0.47
69,1,2023-01-22,easy,1.107,8.0,6.713,124.5,41.9,0.0,0.0,0.0,160.7,232.0,200.0,7.8,0.464
70,1,2023-01-23,easy,1.348,9.51,7.054,128.5,26.7,0.0,0.0,0.0,167.7,201.8,200.0,5.0,0.529
71,1,2023-01-26,easy,1.554,11.24,7.234,126.9,72.8,0.0,0.0,0.0,165.2,244.1,200.0,5.1,0.55
72,1,2023-01-27,easy,1.233,8.64,7.004,127.8,0.0,0.0,0.0,0.0,159.8,248.0,200.0,6.4,0.519
73,1,2023-01-28,easy,1.291,9.21,7.134,127.4,65.9,0.0,0.0,0.0,159.0,235.5,200.0,5.0,0.536
74,1,2023-01-29,easy,1.362,9.31,6.836,127.3,6.3,0.0,0.0,0.0,157.0,221.3,200.0,10.9,0.517
75,1,2023-01-30,easy,1.506,9.76,6.482,126.1,47.2,0.0,0.0,0.0,163.9,234.9,200.0,10.5,0.526
76,1,2023-01-31,easy,2.095,14.58,6.959,130.8,23.5,0.0,0.0,0.0,158.1,232.7,200.0,6.5,0.482
77,1,2023-02-01,easy,1.263,8.8,6.968,126.5,109.8,0.0,0.0,0.0,158.2,240.2,200.0,7.7,0.505
78,1,2023-02-02,easy,1.42,9.8,6.899,128.9,32.0,0.0,0.0,0.0,156.4,226.1,200.0,6.4,0.45
79,1,2023-02-04,easy,1.368,9.32,6.811,127.4,30.7,0.0,0.0,0.0,163.1,228.5,200.0,8.0,0.45
80,1,2023-02-05,easy,1.634,11.31,6.921,126.3,26.7,0.0,0.0,0.0,165.3,238.1,200.0,7.6,0.473
81,1,2023-02-06,easy,1.409,10.12,7.181,126.2,59.0,0.0,0.0,0.0,161.7,235.3,200.0,8.1,0.456
82,1,2023-02-07,easy,1.38,9.68,7.018,127.7,27.3,0.0,0.0,0.0,154.9,243.8,200.0,8.2,0.477
83,1,2023-02-09,easy,1.409,9.68,6.873,131.0,0.0,0.0,0.0,0.0,151.5,216.9,200.0,8.0,0.497
84,1,2023-02-10,easy,1.198,8.08,6.744,126.3,49.9,0.0,0.0,0.0,155.2,236.4,200.0,6.7,0.475
85,1,2023-02-11,easy,2.223,16.06,7.224,128.0,62.3,0.0,0.0,0.0,159.7,256.7,200.0,7.0,0.517
86,1,2023-02-12,easy,1.567,11.34,7.236,129.6,38.8,0.0,0.0,0.0,153.8,219.5,200.0,7.2,0.548
87,1,2023-02-13,easy,1.447,9.68,6.689,126.8,0.0,0.0,0.0,0.0,153.2,244.3,200.0,6.3,0.55
88,1,2023-02-14,easy,1.483,10.08,6.797,130.4,0.0,0.0,0.0,0.0,159.7,243.8,200.0,7.0,0.516
89,1,2023-02-15,easy,1.331,9.3,6.984,124.6,39.9,0.0,0.0,0.0,166.0,233.1,200.0,5.0,0.491
90,1,2023-02-16,easy,1.14,8.0,6.823,124.8,17.2,0.0,0.0,0.0,164.4,206.4,200.0,6.7,0.529
91,1,2023-02-18,easy,1.112,8.0,6.889,127.5,0.0,0.0,0.0,0.0,165.4,232.6,200.0,6.3,0.532
92,1,2023-02-19,easy,0.915,8.0,6.722,125.8,78.0,0.0,0.0,0.0,158.6,244.7,200.0,9.7,0.45
93,1,2023-02-20,easy,1.457,9.51,6.53,128.2,47.4,0.0,0.0,0.0,163.3,243.5,200.0,8.5,0.493
94,1,2023-02-21,easy,1.326,9.36,7.056,120.1,43.9,0.0,0.0,0.0,163.0,209.3,200.0,8.7,0.492
95,1,2023-02-22,easy,1.199,8.03,6.699,123.4,43.2,0.0,0.0,0.0,163.7,211.4,200.0,8.1,0.503
96,1,2023-02-23,easy,1.401,10.02,7.155,129.8,32.3,0.0,0.0,0.0,161.2,219.4,200.0,5.0,0.536
97,1,2023-02-24,easy,1.575,10.99,6.976,126.3,0.0,0.0,0.0,0.0,160.7,223.9,200.0,7.9,0.465
98,1,2023-02-26,easy,1.001,8.0,6.762,126.8,83.7,0.0,0.0,0.0,157.5,239.0,200.0,8.6,0.488
99,1,2023-02-27,easy,1.581,11.02,6.968,127.1,38.6,0.0,0.0,0.0,156.4,233.1,200.0,7.5,0.55
100,1,2023-02-28,long,2.365,17.57,7.431,129.7,96.6,0.0,0.0,0.0,161.8,248.3,200.0,7.1,0.466
101,1,2023-03-01,easy,1.707,10.68,6.258,128.4,8.8,0.0,0.0,0.0,173.5,232.6,200.0,9.6,0.488
102,1,2023-03-02,easy,1.158,8.0,6.799,128.7,0.0,0.0,0.0,0.0,158.6,231.4,200.0,7.3,0.482
103,1,2023-03-03,easy,1.416,10.28,7.26,129.4,18.0,0.0,0.0,0.0,163.6,226.8,200.0,6.3,0.47
